experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
ensemble,none,german,No Preprocessing,Random Forest,"[0.8002163700470579, 0.786722784817755, 0.7520541771157158, 0.7976757685049812, 0.7417788379822577, 0.7785816087147507, 0.7436104311676947, 0.7619394823186292, 0.7439824945295406, 0.7016586531495687]"
ensemble,default,german,No Preprocessing,Logistic Regression,"[0.819059276237105, 0.8251899640417987, 0.8081005245821642, 0.6643336921896036, 0.7766918004744376, 0.8168844808123241, 0.8507014139935807, 0.6926865077484996, 0.8121511099571596, 0.7213413474455772]"
ensemble,default,german,No Preprocessing,Random Forest,"[0.7390381234282154, 0.5004983121684616, 0.4355861713003861, 0.6902086677367576, 0.501164616867576, 0.5052354104122428, 0.5347170902547955, 0.7236316228173288, 0.6100839364405821, 0.5597970186794191]"
ensemble,custom,german,No Preprocessing,Logistic Regression,"[0.8113239935399333, 0.7177383916800937, 0.8627223559965205, 0.8421929938794114, 0.7789955773848584, 0.5801209486118534, 0.8120430816120595, 0.8237885462555067, 0.8116095491121772, 0.7201792623876045]"
ensemble,custom,german,No Preprocessing,Random Forest,"[0.5297981870249189, 0.7265463108706144, 0.7986447241045499, 0.7304974210028581, 0.3938918741854322, 0.6326866258168746, 0.7271239089561451, 0.7561068791566933, 0.5090414155162356, 0.5926266241491768]"
fairboost,none,german,OptimPreproc,Logistic Regression,"[0.901977141903729, 0.8089566736777741, 0.8714069591527988, 0.8100447941217837, 0.7907556148533933, 0.8183368869936034, 0.854649394431477, 0.8424424957931926, 0.81710122208851, 0.8025733572949545]"
fairboost,none,german,OptimPreproc,Random Forest,"[0.8383739013985209, 0.867317232223956, 0.7733224222585925, 0.826481580352376, 0.7771189192632062, 0.7795384179932806, 0.7121672156420149, 0.8423146292111193, 0.8151164889599736, 0.7454475574894026]"
fairboost,none,german,LFR,Logistic Regression,"[0.9087048832271762, 0.8232425859327266, 0.8854968198111396, 0.8824908231059277, 0.7827348084676078, 0.8183368869936034, 0.8198614318706696, 0.8387248620518319, 0.8519364529977883, 0.7387126389880649]"
fairboost,none,german,LFR,Random Forest,"[0.8475171963649144, 0.8156444284617672, 0.7918781725888326, 0.7906647807637907, 0.80873235033606, 0.8183368869936034, 0.8297524327021708, 0.8507020213783544, 0.8444334610156926, 0.7467901676231801]"
fairboost,none,german,Reweighing,Logistic Regression,"[0.8964442166338162, 0.8562037952629844, 0.8855748681779843, 0.8612887910000924, 0.8503432217484653, 0.8782669500121579, 0.8502806140600542, 0.8671060208586603, 0.8790694575043868, 0.8564680888323966]"
