,Baseline,LFR,OP,RW,LFR+OptimPreproc (no bootstrap),LFR+Reweighing (no bootstrap),OptimPreproc+Reweighing (no bootstrap),LFR+OptimPreproc+Reweighing (no bootstrap),LFR+OptimPreproc (with bootstrap),LFR+Reweighing (with bootstrap),OptimPreproc+Reweighing (with bootstrap),LFR+OptimPreproc+Reweighing (with bootstrap)
german,0.798,0.812,0.796,0.796,0.793,0.788,0.785,0.78,0.693,0.691,0.595,0.62
compas,0.691,0.669,0.698,0.688,0.652,0.654,0.682,0.643,0.58,0.568,0.56,0.528
adult,0.451,0.404,0.423,0.412,0.329,0.381,0.378,0.326,0.32,0.309,0.299,0.28
average,0.647,0.628,0.639,0.632,0.591,0.608,0.615,0.583,0.531,0.523,0.485,0.476
